Num_Acc,id_usager,id_vehicule,num_veh,place,catu,grav,sexe,an_nais,trajet,secu1,secu2,secu3,locp,actp,etatp,com,jour,mois,an,hrmn,lum,agg,int,atm,col,lat,long,catr,circ,nbv,surf,infra,situ,vma,catv,obs,obsm,choc,manv,motor,pluie_mm,pluie_presence,pluie_cumul_3h,pluie_cumul_6h,pluie_cumul_24h,temperature,grav_label,grav_ord,grave,type_vehicule,eclairage,atm_groupe,chaussee_mouillee,type_route,type_collision,role,equipement,sexe_label,en_agglomeration,motif,age,age_groupe,date_acc,jour_semaine,weekend,heure,nuit,heure_groupe,log_pluie_3h,log_pluie_6h,log_pluie_24h,pluie_6h_classe
202400051854,203 865 543,155 690 535,A01,1,1,1,1,1950.0,5,1,0,-1,-1, -1,-1,97411,12,2,2024,16:45,1,2,3,1,3," -20,88632000","55,46969000",4,-1,1,1,9,1,30,7,0,2,3,26,1,0.0,0,0.0,0.0,0.0,32.1,indemne,0,0,voiture,jour,normale,0,communale,côté,conducteur,ceinture,homme,1,promenade,74.0,65+,2024-02-12,0,0,16,0,après-midi,0.0,0.0,0.0,0 mm
202400051854,203 865 543,155 690 535,A01,1,1,1,1,1950.0,5,1,0,-1,-1, -1,-1,97411,12,2,2024,16:45,1,2,3,1,3," -20,88632000","55,46969000",4,-1,1,1,9,1,30,7,0,2,3,26,1,0.0,0,0.0,0.0,0.0,32.1,indemne,0,0,voiture,jour,normale,0,communale,côté,conducteur,ceinture,homme,1,promenade,74.0,65+,2024-02-12,0,0,16,0,après-midi,0.0,0.0,0.0,0 mm
202400051862,203 865 517,155 690 516,A01,1,1,4,2,1990.0,1,2,6,-1,-1, -1,-1,97416,25,10,2024,06:45,1,2,6,1,3," -21,33000000","55,47500000",4,3,4,1,5,1,50,33,0,2,1,16,1,,0,,,,,blessé léger,1,0,2RM >125cm³,jour,normale,0,communale,côté,conducteur,casque,femme,1,domicile-travail,34.0,25-35,2024-10-25,4,0,6,0,pointe matin,,,,
202400051862,203 865 517,155 690 516,A01,1,1,4,2,1990.0,1,2,6,-1,-1, -1,-1,97416,25,10,2024,06:45,1,2,6,1,3," -21,33000000","55,47500000",4,2,2,1,0,1,50,33,0,2,1,16,1,,0,,,,,blessé léger,1,0,2RM >125cm³,jour,normale,0,communale,côté,conducteur,casque,femme,1,domicile-travail,34.0,25-35,2024-10-25,4,0,6,0,pointe matin,,,,
202400051862,203 865 524,155 690 524,B01,2,2,1,1,2001.0,0,1,0,-1,-1, -1,-1,97416,25,10,2024,06:45,1,2,6,1,3," -21,33000000","55,47500000",4,3,4,1,5,1,50,10,0,2,8,1,1,,0,,,,,indemne,0,0,utilitaire,jour,normale,0,communale,côté,passager,ceinture,homme,1,inconnu,23.0,18-25,2024-10-25,4,0,6,0,pointe matin,,,,
202400051862,203 865 524,155 690 524,B01,2,2,1,1,2001.0,0,1,0,-1,-1, -1,-1,97416,25,10,2024,06:45,1,2,6,1,3," -21,33000000","55,47500000",4,2,2,1,0,1,50,10,0,2,8,1,1,,0,,,,,indemne,0,0,utilitaire,jour,normale,0,communale,côté,passager,ceinture,homme,1,inconnu,23.0,18-25,2024-10-25,4,0,6,0,pointe matin,,,,
202400051862,203 865 527,155 690 524,B01,1,1,1,1,2000.0,9,1,0,-1,-1, -1,-1,97416,25,10,2024,06:45,1,2,6,1,3," -21,33000000","55,47500000",4,3,4,1,5,1,50,10,0,2,8,1,1,,0,,,,,indemne,0,0,utilitaire,jour,normale,0,communale,côté,conducteur,ceinture,homme,1,autre,24.0,18-25,2024-10-25,4,0,6,0,pointe matin,,,,
202400051862,203 865 527,155 690 524,B01,1,1,1,1,2000.0,9,1,0,-1,-1, -1,-1,97416,25,10,2024,06:45,1,2,6,1,3," -21,33000000","55,47500000",4,2,2,1,0,1,50,10,0,2,8,1,1,,0,,,,,indemne,0,0,utilitaire,jour,normale,0,communale,côté,conducteur,ceinture,homme,1,autre,24.0,18-25,2024-10-25,4,0,6,0,pointe matin,,,,
202400051865,203 865 509,155 690 507,A01,1,1,1,1,2004.0,0,1,0,-1,-1, -1,-1,97407,13,2,2024,16:15,1,2,1,1,4," -20,93434000","55,29140000",4,1,1,1,0,1,50,7,0,2,6,23,1,0.0,0,0.0,0.0,0.0,31.5,indemne,0,0,voiture,jour,normale,0,communale,autre/multiple,conducteur,ceinture,homme,1,inconnu,20.0,18-25,2024-02-13,1,0,16,0,après-midi,0.0,0.0,0.0,0 mm
202400051865,203 865 513,155 690 511,B01,1,1,4,1,1999.0,0,2,0,-1,-1, -1,-1,97407,13,2,2024,16:15,1,2,1,1,4," -20,93434000","55,29140000",4,1,1,1,0,1,50,33,0,2,6,23,1,0.0,0,0.0,0.0,0.0,31.5,blessé léger,1,0,2RM >125cm³,jour,normale,0,communale,autre/multiple,conducteur,casque,homme,1,inconnu,25.0,18-25,2024-02-13,1,0,16,0,après-midi,0.0,0.0,0.0,0 mm
